mode,turn,key,expected,answer,correct,input_tokens,output_tokens,duration_ms,provider,model,error
baseline_full,1,key_00034,value_391704,value_391704,1,7496,24,3617.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,2,key_00034,value_391704,value_391704,1,423,30,3477.0,openai-codex,gpt-5.3-codex,
baseline_full,3,key_00176,value_813328,value_813328,1,3599,19,4108.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,4,key_00176,value_813328,value_813328,1,366,8,2885.0,openai-codex,gpt-5.3-codex,
baseline_full,5,key_00211,value_665579,value_665579,1,10838,54,3902.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,6,key_00211,value_665579,value_665579,1,309,23,3194.0,openai-codex,gpt-5.3-codex,
baseline_full,7,key_00056,value_377370,value_377370,1,3613,8,3962.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,8,key_00056,value_377370,value_377370,1,380,35,3709.0,openai-codex,gpt-5.3-codex,
baseline_full,9,key_00165,value_542666,value_542666,1,3556,8,4694.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,10,key_00165,value_542666,value_542666,1,323,107,6146.0,openai-codex,gpt-5.3-codex,
baseline_full,11,key_00283,value_639131,value_639131,1,14507,36,3755.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,12,key_00283,value_639131,value_639131,1,394,29,3285.0,openai-codex,gpt-5.3-codex,
baseline_full,13,key_00261,value_573417,value_573417,1,3570,8,2951.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,14,key_00261,value_573417,value_573417,1,337,8,2968.0,openai-codex,gpt-5.3-codex,
baseline_full,15,key_00025,value_308496,value_308496,1,3513,89,6114.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,16,key_00025,value_308496,value_308496,1,408,29,3370.0,openai-codex,gpt-5.3-codex,
baseline_full,17,key_00022,value_731262,value_731262,1,3584,30,5205.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,18,key_00022,value_731262,value_731262,1,351,8,3099.0,openai-codex,gpt-5.3-codex,
baseline_full,19,key_00141,value_358607,value_358607,1,3527,31,5698.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,20,key_00141,value_358607,value_358607,1,422,8,4695.0,openai-codex,gpt-5.3-codex,
baseline_full,21,key_00079,value_403445,value_403445,1,3598,24,3303.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,22,key_00079,value_403445,value_403445,1,22125,8,4116.0,openai-codex,gpt-5.3-codex,
baseline_full,23,key_00232,value_955662,value_955662,1,3541,39,3893.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,24,key_00232,value_955662,value_955662,1,308,8,3929.0,openai-codex,gpt-5.3-codex,
baseline_full,25,key_00023,value_127824,value_127824,1,3612,8,5683.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,26,key_00023,value_127824,value_127824,1,379,8,6609.0,openai-codex,gpt-5.3-codex,
baseline_full,27,key_00279,value_170674,value_170674,1,3555,8,3554.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,28,key_00279,value_170674,value_170674,1,322,8,5036.0,openai-codex,gpt-5.3-codex,
baseline_full,29,key_00258,value_491559,value_491559,1,3626,8,2973.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,30,key_00258,value_491559,value_491559,1,393,29,3714.0,openai-codex,gpt-5.3-codex,
baseline_full,31,key_00112,value_684004,value_684004,1,3569,33,6133.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,32,key_00112,value_684004,value_684004,1,336,8,4611.0,openai-codex,gpt-5.3-codex,
baseline_full,33,key_00146,value_883300,value_883300,1,3512,63,6998.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,34,key_00146,value_883300,value_883300,1,407,8,3415.0,openai-codex,gpt-5.3-codex,
baseline_full,35,key_00293,value_704201,value_704201,1,25727,8,5151.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,36,key_00293,value_704201,value_704201,1,137438,8,6457.0,openai-codex,gpt-5.3-codex,
baseline_full,37,key_00190,value_575763,value_575763,1,3526,8,3356.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,38,key_00190,value_575763,value_575763,1,293,8,3190.0,openai-codex,gpt-5.3-codex,
baseline_full,39,key_00204,value_632323,value_632323,1,3597,8,3356.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,40,key_00204,value_632323,value_632323,1,364,8,3116.0,openai-codex,gpt-5.3-codex,
baseline_full,41,key_00015,value_542417,value_542417,1,3540,8,2945.0,openai-codex,gpt-5.3-codex,
hybrid_memctx,42,key_00015,value_542417,value_542417,1,11315,8,3522.0,openai-codex,gpt-5.3-codex,
