mode,turn,key,expected,answer,correct,input_tokens,output_tokens,duration_ms,provider,model,memory_payload_tokens_est,memctx_tokens_est,message_tokens_est,prompt_tokens,last_call_input_tokens,error
baseline_full,1,key_00266,value_145114,value_145114,1,3578,209,6806.0,openai-codex,gpt-5.3-codex,4443,0,4462,18938,3578,
hybrid_memctx,2,key_00266,value_145114,value_145114,1,345,20,2290.0,openai-codex,gpt-5.3-codex,131,131,146,19161,345,
baseline_full,3,key_00217,value_760201,value_760201,1,20033,22,3517.0,openai-codex,gpt-5.3-codex,4444,0,4463,22593,20033,
hybrid_memctx,4,key_00217,value_760201,value_760201,1,416,19,3056.0,openai-codex,gpt-5.3-codex,132,132,147,22816,416,
baseline_full,5,key_00139,value_146273,value_146273,1,3592,19,2422.0,openai-codex,gpt-5.3-codex,4444,0,4463,26248,3592,
hybrid_memctx,6,key_00139,value_146273,value_146273,1,359,19,3080.0,openai-codex,gpt-5.3-codex,132,132,147,26471,359,
baseline_full,7,key_00225,value_242622,value_242622,1,3535,19,3312.0,openai-codex,gpt-5.3-codex,4444,0,4462,29903,3535,
hybrid_memctx,8,key_00225,value_242622,value_242622,1,302,19,2457.0,openai-codex,gpt-5.3-codex,131,131,146,30126,302,
baseline_full,9,key_00234,value_845565,value_845565,1,3606,8,2165.0,openai-codex,gpt-5.3-codex,4443,0,4462,33558,3606,
hybrid_memctx,10,key_00234,value_845565,value_845565,1,373,61,3610.0,openai-codex,gpt-5.3-codex,131,131,146,33781,373,
baseline_full,11,key_00011,value_689633,value_689633,1,3549,19,2884.0,openai-codex,gpt-5.3-codex,4443,0,4461,37213,3549,
hybrid_memctx,12,key_00011,value_689633,value_689633,1,316,8,2605.0,openai-codex,gpt-5.3-codex,131,131,146,37436,316,
baseline_full,13,key_00183,value_770174,value_770174,1,3620,19,3473.0,openai-codex,gpt-5.3-codex,4444,0,4462,40868,3620,
hybrid_memctx,14,key_00183,value_770174,value_770174,1,387,8,2375.0,openai-codex,gpt-5.3-codex,131,131,146,41091,387,
baseline_full,15,key_00122,value_162627,value_162627,1,3563,30,2874.0,openai-codex,gpt-5.3-codex,4443,0,4462,44523,3563,
hybrid_memctx,16,key_00122,value_162627,value_162627,1,330,8,2914.0,openai-codex,gpt-5.3-codex,131,131,146,44746,330,
baseline_full,17,key_00297,value_848435,value_848435,1,3506,32,5106.0,openai-codex,gpt-5.3-codex,4444,0,4463,48178,3506,
hybrid_memctx,18,key_00297,value_848435,value_848435,1,46865,8,2828.0,openai-codex,gpt-5.3-codex,132,132,147,48401,46865,
baseline_full,19,key_00173,value_438121,value_438121,1,3577,23,4128.0,openai-codex,gpt-5.3-codex,4443,0,4461,51833,3577,
hybrid_memctx,20,key_00173,value_438121,value_438121,1,344,19,3049.0,openai-codex,gpt-5.3-codex,131,131,146,52056,344,
