mode,turn,key,expected,answer,correct,input_tokens,output_tokens,duration_ms,provider,model,memory_payload_tokens_est,memctx_tokens_est,message_tokens_est,prompt_tokens,last_call_input_tokens,error
baseline_full,1,key_00218,value_275631,value_275631,1,3524,23,3511.0,openai-codex,gpt-5.3-codex,4443,0,4462,121284,3524,
hybrid_memctx,2,key_00218,value_275631,value_275631,1,400,19,3113.0,openai-codex,gpt-5.3-codex,118,118,133,121488,400,
baseline_full,3,key_00076,value_663999,value_663999,1,3576,23,3474.0,openai-codex,gpt-5.3-codex,4444,0,4462,124920,3576,
hybrid_memctx,4,key_00076,value_663999,value_663999,1,322,8,6083.0,openai-codex,gpt-5.3-codex,117,117,132,125122,322,
baseline_full,5,key_00091,value_812715,value_812715,1,3626,23,3229.0,openai-codex,gpt-5.3-codex,4444,0,4462,128554,3626,
hybrid_memctx,6,key_00091,value_812715,value_812715,1,372,121,5913.0,openai-codex,gpt-5.3-codex,117,117,132,128756,372,
baseline_full,7,key_00099,value_242959,value_242959,1,3548,8,3232.0,openai-codex,gpt-5.3-codex,4443,0,4462,132188,3548,
hybrid_memctx,8,key_00099,value_242959,value_242959,1,296,8,7456.0,openai-codex,gpt-5.3-codex,118,118,133,132392,296,
baseline_full,9,key_00036,value_817848,value_817848,1,3600,8,3137.0,openai-codex,gpt-5.3-codex,4443,0,4461,135824,3600,
hybrid_memctx,10,key_00036,value_817848,value_817848,1,348,22,3876.0,openai-codex,gpt-5.3-codex,118,118,133,136028,348,
baseline_full,11,key_00223,value_450925,value_450925,1,3524,32,3472.0,openai-codex,gpt-5.3-codex,4444,0,4463,139460,3524,
hybrid_memctx,12,key_00223,value_450925,value_450925,1,398,8,3030.0,openai-codex,gpt-5.3-codex,117,117,132,139662,398,
baseline_full,13,key_00003,value_384119,value_384119,1,3574,56,4259.0,openai-codex,gpt-5.3-codex,4443,0,4461,143094,3574,
hybrid_memctx,14,key_00003,value_384119,value_384119,1,322,22,3617.0,openai-codex,gpt-5.3-codex,118,118,133,143298,322,
baseline_full,15,key_00179,value_839651,value_839651,1,3626,8,3496.0,openai-codex,gpt-5.3-codex,4443,0,4461,146730,3626,
hybrid_memctx,16,key_00179,value_839651,value_839651,1,374,8,3600.0,openai-codex,gpt-5.3-codex,118,118,133,146934,374,
baseline_full,17,key_00290,value_751010,value_751010,1,3550,31,4362.0,openai-codex,gpt-5.3-codex,4443,0,4462,150366,3550,
hybrid_memctx,18,key_00290,value_751010,value_751010,1,298,8,3787.0,openai-codex,gpt-5.3-codex,118,118,133,150570,298,
baseline_full,19,key_00044,value_604963,value_604963,1,3602,23,5029.0,openai-codex,gpt-5.3-codex,4443,0,4461,154002,3602,
hybrid_memctx,20,key_00044,value_604963,value_604963,1,350,19,4712.0,openai-codex,gpt-5.3-codex,118,118,133,154206,350,
